file_name,title,display_id,upload_date,view_count,like_count,dislike_count,average_rating,creator,artist
"morcheeba - ""the sea""-VnCS25z18pI.mp3","morcheeba - ""the sea""",VnCS25z18pI,20061215,6998713,20210,504,4.902674675,Morcheeba,Morcheeba
Fleetwood Mac ~''Dreams''  Remastered With Lyrics-GzY140MnItA.mp3,Fleetwood Mac ~''Dreams''  Remastered With Lyrics,GzY140MnItA,20150921,4493,26,1,4.85185194,,
China Crisis - Wishful Thinking (7'' Single Edit) Music Video-FQ2OK8UkBu8.mp3,China Crisis - Wishful Thinking (7'' Single Edit) Music Video,FQ2OK8UkBu8,20160420,351,2,0,5,China Crisis,China Crisis
Sigue Sigue Sputnik   Love Missile F1 11 (uncensored)-V67OOERTOEo.mp3,Sigue Sigue Sputnik   Love Missile F1 11 (uncensored),V67OOERTOEo,20120627,139054,1125,28,4.902862072,Sigue Sigue Sputnik,Sigue Sigue Sputnik
I Need You Tonight - Coyote Ugly-Y2Csgu8Ya2o.mp3,I Need You Tonight - Coyote Ugly,Y2Csgu8Ya2o,20070731,2045024,1442,49,4.868544579,INXS,INXS
Porcupine Tree - Trains (Live)-cjNU4RuKqVE.mp3,Porcupine Tree - Trains (Live),cjNU4RuKqVE,20150226,600194,4910,71,4.94298315,Porcupine Tree,Porcupine Tree
Your Hands On My Skin - De/Vision-HV7T3b_xypw.mp3,Your Hands On My Skin - De/Vision,HV7T3b_xypw,20121116,125456,846,30,4.863013744,De/Vision,De/Vision
Michael Jackson - Billie Jean (Remastered HD 720p)-Pzs9fsYpsjs.mp3,Michael Jackson - Billie Jean (Remastered HD 720p),Pzs9fsYpsjs,20121212,1064122,4612,139,4.88297224,,
"God Is an Astronaut - All Is Violent, All Is Bright-ESK8hi1LyLc.mp3","God Is an Astronaut - All Is Violent, All Is Bright",ESK8hi1LyLc,20090317,371081,3343,22,4.973848343,God is an Astronaut,God is an Astronaut
Pink Floyd - Wish You Were Here-IXdNnw99-Ic.mp3,Pink Floyd - Wish You Were Here,IXdNnw99-Ic,20060405,175730694,678481,27334,4.845031738,Pink Floyd,Pink Floyd
MEW half the world is watching me - comforting sounds [AUDIO]-gmbxEmy9xqo.mp3,MEW half the world is watching me - comforting sounds [AUDIO],gmbxEmy9xqo,20081217,1717,4,4,3,,
Stereophonics - Dakota (Official Video)-SzBJQnD7TRM.mp3,Stereophonics - Dakota (Official Video),SzBJQnD7TRM,20081003,10689353,50450,1636,4.87446022,,
PLACEBO - Every You Every Me-OMaycNcPsHI.mp3,PLACEBO - Every You Every Me,OMaycNcPsHI,20100428,19855356,87593,2435,4.891841412,Placebo,Placebo
Roxette - Listen To Your Heart-yCC_b5WHLX0.mp3,Roxette - Listen To Your Heart,yCC_b5WHLX0,20090304,208320972,667622,24884,4.855940342,,
PARADISE LOST - No Hope In Sight (Lyric Video)-F7O1z-Vw9Vc.mp3,PARADISE LOST - No Hope In Sight (Lyric Video),F7O1z-Vw9Vc,20150421,2383230,21835,386,4.930591106,Paradise Lost,Paradise Lost
You're Beautiful James Blunt- Bedlam sessions-7uT1xSp1cUM.mp3,You're Beautiful James Blunt- Bedlam sessions,7uT1xSp1cUM,20111231,2077,17,0,5,James Blunt,James Blunt
Reamonn - Supergirl-cpF7zmFJlyc.mp3,Reamonn - Supergirl,cpF7zmFJlyc,20110206,12629943,51753,2360,4.82608366,,
Opeth - Windowpane (Damnation)-qEaf9LqIUZQ.mp3,Opeth - Windowpane (Damnation),qEaf9LqIUZQ,20140723,1366318,7880,159,4.92110157,Opeth,Opeth
Elton John - Rocketman (In Think It?s Gonna Be A Long Time).-z2hu2EwCm-k.mp3,Elton John - Rocketman (In Think It?s Gonna Be A Long Time).,z2hu2EwCm-k,20070323,2602323,4754,216,4.826157093,,
Death Cab For Cutie - I Will Follow You Into The Dark +Lyrics-NDHY1D0tKRA.mp3,Death Cab For Cutie - I Will Follow You Into The Dark +Lyrics,NDHY1D0tKRA,20090818,20771929,165197,4620,4.890776157,Death Cab for Cutie,Death Cab for Cutie
Truly Madly Deeply - Savage Garden with lyrics (also available in HD)-gE5M2PnX7NM.mp3,Truly Madly Deeply - Savage Garden with lyrics (also available in HD),gE5M2PnX7NM,20101126,542034,3466,114,4.872625828,,
Insatiable - Darren Hayes-4E8PAEiDIfk.mp3,Insatiable - Darren Hayes,4E8PAEiDIfk,20120708,502937,2494,81,4.874174595,Darren Hayes,Darren Hayes
Explosions in the Sky - Your Hand in Mine-cdiY6kijYHE.mp3,Explosions in the Sky - Your Hand in Mine,cdiY6kijYHE,20090317,2605823,21697,358,4.93514204,Explosions in the Sky,Explosions in the Sky
AC-DC - Highway to Hell (Live German TV with Bon Scott - 1979)--Subtitled-MOTMw0o1ELM.mp3,AC-DC - Highway to Hell (Live German TV with Bon Scott - 1979)--Subtitled,MOTMw0o1ELM,20121212,2817762,9994,236,4.907722473,,
Apocalyptica - I Don't Care ft. Adam Gontier-qxDcWvZCSRg.mp3,Apocalyptica - I Don't Care ft. Adam Gontier,qxDcWvZCSRg,20091124,69404200,448232,9141,4.919856071,Apocalyptica,Apocalyptica
Megadeth - Symphony Of Destruction - Remastered sound 2004-crdYsPVBK6M.mp3,Megadeth - Symphony Of Destruction - Remastered sound 2004,crdYsPVBK6M,20151202,4676,64,2,4.878787994,Megadeth,Megadeth
"Dream Theater (live in Paris) - ""Pull Me Under""-5ozBCgXFJQM.mp3","Dream Theater (live in Paris) - ""Pull Me Under""",5ozBCgXFJQM,20110609,2934,24,0,5,,
The Darkness - I Believe In A Thing Called Love (Official Music Video)-tKjZuykKY1I.mp3,The Darkness - I Believe In A Thing Called Love (Official Music Video),tKjZuykKY1I,20140714,13285793,102297,4027,4.848300457,The Darkness,The Darkness
Thirteen Senses - Into The Fire-VFroDCsVCeY.mp3,Thirteen Senses - Into The Fire,VFroDCsVCeY,20101007,11175046,91791,1429,4.938697338,Thirteen Senses,Thirteen Senses
"Audioslave - Like a Stone (Live, Anti-Inaugural Ball 2017)-DxQ945HGLtI.mp3","Audioslave - Like a Stone (Live, Anti-Inaugural Ball 2017)",DxQ945HGLtI,20170121,885990,7684,538,4.73826313,,
Charon - Colder--t3mMi__ruY.mp3,Charon - Colder,-t3mMi__ruY,20081005,197001,1132,21,4.927146435,Charon,Charon
AMORPHIS - The Bee (OFFICIAL LYRIC VIDEO)-xf_4uvymwRw.mp3,AMORPHIS - The Bee (OFFICIAL LYRIC VIDEO),xf_4uvymwRw,20180323,1547312,16426,508,4.879609108,Amorphis,Amorphis
PAIN - Shut Your Mouth (OFFICIAL MUSIC VIDEO)-067YF8KHdTM.mp3,PAIN - Shut Your Mouth (OFFICIAL MUSIC VIDEO),067YF8KHdTM,20100306,2141640,29268,454,4.93880415,Pain,Pain
SENTENCED - Killing Me Killing You (OFFICIAL VIDEO)-wkLhAxbUecw.mp3,SENTENCED - Killing Me Killing You (OFFICIAL VIDEO),wkLhAxbUecw,20090112,2864082,13644,348,4.900514603,,
Aeon Spoke - The Fisher Tale-ab1DIfDc2Jw.mp3,Aeon Spoke - The Fisher Tale,ab1DIfDc2Jw,20090606,183898,1567,13,4.967088699,,
Since U Been Gone - Kelly Clarkson (Lyrics) HD-QUK8gQ2aGxY.mp3,Since U Been Gone - Kelly Clarkson (Lyrics) HD,QUK8gQ2aGxY,20120622,3835138,26390,664,4.901978016,Kelly Clarkson,Kelly Clarkson
No Angels - Still in Love with You-m1c7cqmjq0w.mp3,No Angels - Still in Love with You,m1c7cqmjq0w,20080411,711117,2079,42,4.920792103,No Angels,No Angels
"Sandy, ANAVIT?RIA - Pra Me Refazer-7eu_EMEJEaM.mp3","Sandy, ANAVIT?RIA - Pra Me Refazer",7eu_EMEJEaM,20180921,1257325,91731,420,4.981827736,"Sandy, ANAVIT?RIA","Sandy, ANAVIT?RIA"
Wir Sind Helden - Nur Ein Wort (Video)-X5kmM98iklo.mp3,Wir Sind Helden - Nur Ein Wort (Video),X5kmM98iklo,20101207,5875471,31319,966,4.880115032,Wir Sind Helden,Wir Sind Helden
DIR EN GREY - THE FINAL-2X38H6Zvyr4.mp3,DIR EN GREY - THE FINAL,2X38H6Zvyr4,20101224,940665,5743,110,4.924824715,Dir En Grey,Dir En Grey
My Chemical Romance - Welcome To The Black Parade [Official Music Video]-RRKJiM9Njr8.mp3,My Chemical Romance - Welcome To The Black Parade [Official Music Video],RRKJiM9Njr8,20091026,78274462,648362,16643,4.89960289,My Chemical Romance,My Chemical Romance
The Killers - Mr. Brightside-gGdGFtwCNBE.mp3,The Killers - Mr. Brightside,gGdGFtwCNBE,20090616,291482036,1241542,41727,4.869401455,The Killers,The Killers
Katatonia - Old Heart Falls (lyric video)-OFjWd5unk6Q.mp3,Katatonia - Old Heart Falls (lyric video),OFjWd5unk6Q,20160330,25506,297,5,4.933774948,Katatonia,Katatonia
MONGOL800 ?????????Pocky? ?????????-0Com7F2TvpU.mp3,MONGOL800 ?????????Pocky? ?????????,0Com7F2TvpU,20131120,1481486,3726,148,4.847186565,,
